name,address,phone,type,email
"Детский сад ""International Kindergarten Disneyland's""","ул. Жургенева, 58","87012227902, 87273862422",детский сад,disneyland.kindergarten@gmail.com
"Детский сад ""Талант""","ул. Митина, 23А","87776693895, 87776693895",детский сад,tastanbekovazhanat@rambler.ru
"Детский сад ""Villa Bambini""","ул. Таттимбета, 3","87014759955, 87014759955",детский сад,Leeangel@mail.ru
"Ясли-сад ""Еркем-Ай""","ул. Жамакаева, 93","87714037973, 87076078004",ясли-сад,aigera_juman@mail.ru
Детский сад «Baby Town» (филиал),"ул. Оспанова, 114","87012887532, 87272239148",детский сад,s.z.k@bk.ru
Мини-центр при «Школа Колледж «Көкіл»,"ул. Калдаякова, 25","87012102120, 87273824237",дошкольный мини-центр,kokil.kz@mail.ru
"Детский сад ""Еркетай""","ул. Каркаралы, 23а","87758581837, 87028414506",детский сад,karlygash.ametova@mail.ru
"Детский сад ""Солнечный лучик""","ул. Водная, 31","87011689996, 87272255849",детский сад,art-lotos@bk.ru
Детский сад «Карусель и Ко»,"ул. Карибжанова, 22","87017262528, 87273867081",детский сад,anfi2112@mail.ru
Детский сад «Эльсана»,"ул. Зверева, 28","87071376171, 87272916442",детский сад,elsana.dsad@mail.ru
"Детский сад ""StArt""","ул. Кармысова, 90","87013787776, 87272919260",детский сад,start2017start@mail.ru
"Дошкольный учебно-воспитательный центр ""Гармония""","ул. Найманбаева, 22/2","87770153142, 87717661982",детский сад,prestige_67@mail.ru
"Ясли-сад ""Академия-О""","ул. Уалиханова, 5","87770168778, 87272733438",ясли-сад,ksarymbaeva@bk.ru
"Филиал №1 Детский Сад ""Baby Hyp""","ул. Иштван Коныра, 86/43","87013810770, 87273834477",детский сад,baby_nur_2013@mail.ru
"Детский сад ""KULPASH""","ул. Жуковского, 7","87781156749, 87781156749",детский сад,sad.kulpasha_03@mail.ru
"Детский сад ""АлдиАмир","ул. Сырмак, 44А","87017150243, 87004004664",детский сад,lyazzat.duanbekova@mail.ru
"Детский сад ""Аликош""","ул. Домбыра, 28","87474291411, 87474291411",детский сад,Aruzhan.dulatkyzy@bk.ru
"Детский сад ""Smart Imperium""","ул. Луганского, 107Б","87025166178, 87025166178",детский сад,imk.dostyk@gmail.com
"Детский сад ""Little Baby""","ул. Орманова, 32А","87718220707, 87272938957",детский сад,little.baby.2020@mail.ru
"Мини-центр ""Падишах""","ул. Шоқай, 118А","87019999495, 87019999495",дошкольный мини-центр,k.sulushash@mail.ru
"Мини-центр ""Лия Сахан""","пр. Достык, 97Б","87016363638, 87273384338",дошкольный мини-центр,kinderland.sadik01@gmail.com
"Детский сад «Aqbesik»""","ул. Клубная, 24","87016542372, 87272345334",детский сад,aiko_16_08@mail.ru
"Дошкольный мини-центр ""Алтын Ұя""","ул. Бекхожина, 15","87754103400, 87270000000",дошкольный мини-центр,altyn-uya2019@mail.ru
"Детский сад ""Чудесная страна""","ул. Таттимбета, 3","87077888052, 87077888052",детский сад,svetmoi08@mail.ru
"Детский сад ""Бэби Сад""","ул. Каирбекова, 37","87071052222, 87272207547",детский сад,centralparkbk@gmail.com
"Детский сад ""Березка""","ул. Рубинштейна, 3а","87772659863, 87272621345",детский сад,berezka_hozu@mail.ru
"Мини-центр ""Cambridge Kids""","пр. Достык, 341","87475001761, 87272677592",дошкольный мини-центр,info@cambridge-kids.kz
"Детский сад ""Baby Hyp""","ул. Чекалина, 41","87013810770, 87273834546",детский сад,baby_nur_2013@mail.ru
"Детский сад ""Alina""","ул. Каирбекова, 68","87074404061, 87074404061",детский сад,embassyc@mail.ru
"Детский сад ""Умняшка""","ул. Ибрагимова, 105","87078831963, 87078831963",детский сад,umnyashka105@gmail.com
"Детский сад ""Madi kids""","ул. Нурмагамбетова, 182","87077781531, 87077781531",детский сад,medi.detki@mail.ru
"Детский сад ""ALTAIR kids""","ул. Хан-Тенгри, 37","87753402442, 87753402442",детский сад,аltair_kids@mail.ru
"Детский сад ""Colibri Kids Center""","Кульджинский тракт, 117","87012333848, 87018448740",детский сад,Nurbekova_gaziza@mail.ru
"Детский сад ""Gumi-Gumi""","ул. Кастеева, 90","87001900019, 87001900019",детский сад,ensepova91@mail.ru
"Детский сад ""Алина""","ул. Сахариева, 11","87017150243, 87017150243",детский сад,lyazzat1978@mail.ru
"Детский сад ""Дана Бала""","ул. Текемет, 40а","87075227801, 87075227801",детский сад,danabala.medeu@mail.ru
"Детский сад ""BabyBoom 3""","ул. Поповича, 45","87785296909, 87785296909",детский сад,bekturganov.1991@inbox.ru
"Детский сад ""Home Academy""","ул. Кыз Жибек, 119","87078917184, 87078917184",детский сад,olga.t.09@mail.ru
"Детский сад ""GRAMMY""","ул. Жамакаева, 46","87028037243, 87027947810",детский сад,bejbitgulzanbyrbaeva@gmail.com
"Детский сад ""Ayleen Kids""","ул. Есил, 5","87083763342, 87083763342",детский сад,Ayleen.kids@mail.ru
"Детский сад ""TILVALDY""","ул. Нурмагамбетова, 202","87001006513, 87001006513",детский сад,nargiza6513@mail.ru
"Детский сад ""Almaty Poznai-ka""","ул. Иванилова, 42В","87772698537, 87772698537",детский сад,poznai-ka@mail.ru
"Детский сад ""Madi kids Premium""","ул. Нурлыбаева, 31","87773571773, 87077777863",детский сад,madikids.premium@mail.ru
"Детский сад ""KASYM_KIDS""","ул. Келес, 4/1","87770942202, 87770942202",детский сад,kasym_kids@mail.ru
"Детский сад ""Kausar&her Golden friends""","ул. Құрманғалиева, 12","87780079991, 87780079991",детский сад,AkhmetovaFV@gmail.com
"Детский сад ""Kids Vector""","ул. Средняя, 34A","87011408241, 87273360633",детский сад,kids.vector1@gmail.com
"Детский сад ""Ai-bota""","ул. Аныракай, 6","87016542372, 87016542372",детский сад,ai-bota00@mail.ru
Детский сад «Ziyatkerim»,"ул. Байтасова, 14","87070501090, 87070501090",детский сад,ziyatkerymschool@gmail.com
"Детский сад ""ORKEN_BALABAQSHA""","мкр. Кокжиек, 60а","87055550774, 87055550774",детский сад,orken.balabasha@mail.ru
Детский сад «Bambi»,"мкр. Айнабулак-4, 167а","87776976757, 87776976778",детский сад,bambi_2023@mail.ru
"Детский сад ""Львёнок""","ул. Жансугуров, 250","87476767042, 87753196247",детский сад,fatya_hishanlo@mail.ru
"Детский сад ""Fortuna8"" (филиал)","ул. Нусупбекова, 94/22","87078181556, 87078181556",детский сад,emisovna@mail.ru
"Детский сад ""Kausar 222""","ул. Павлодарская, 135д","87071390072, 87079518306",детский сад,gulzat.68@mail.ru
"Детский сад ""Parasat-S""","мкр. Айнабулак-3, 172Е","87710003005, 87710003005",детский сад,alpamys888@bk.ru
"Детский сад ""Kausar sad""","ул. Мещерского, 110","87018166612, 87018166612",детский сад,Kausarsad@mail.ru
"Детский сад ""Kids smile""","ул. Новгородская, 5","87750522202, 87273333239",детский сад,alsani@mail.ru
"Детский сад ""Fortuna8""","ул. Брюсова, 16","87078181556, 87078181556",детский сад,djumagul.alieva@mail.ru
"Детский сад ""Изумрудный город""","ул. Брюсова, 16","87054637364, 87470530296",детский сад,ksu6a_08@mail.ru
"Детский сад ""Балапан 2013""","ул. Есим хана, 42Б","87059540974, 87279739640",детский сад,balapan.balapan13@mail.ru
"Детский сад ""АДИНА-Д""","ул. Табигат, 1","87781301717, 87781301717",детский сад,Janeka-2014@mail.ru
"Детский сад ""MadinArai""","ул. Сельская, 108","87758612684, 87758612684",детский сад,madinarai@mail.ru
"Детский сад ""Центр белый лебедь""","ул. Есим хана, 193","87078076605, 87272602851",детский сад,uchkach58@mail.ru
"Детский сад ""Султанкурган""","ул. Омарова, 23а","87013593329, 87272518210",детский сад,sultankurgan@mail.ru
"Детский сад ""Мадина -27""","ул. Молодежная, 69А","87017131817, 87273984245",детский сад,sunny.madina27@mail.ru
"Детский сад ""Дария 23""","ул. Пестковского, 54","87077479210, 87077479210",детский сад,z.konysbaeva@mail.ru
"""Детский сад"" на Джангильдина","ул. Жангильдина, 103","87022220632, 87273801341",детский сад,amirserikguljan@mail.ru
"Детский сад ""Sabi-bala""","мкр. Кокжиек, 50А","87021920717, 87273995583",детский сад,sabila_beybi@mail.ru
"Детский сад ""Джумагуль""","ул. Омарова, 14/1","87079091121, 87079091121",детский сад,adilya-78@mail.ru
"Образовательный центр ""Альтаир""","ул. Айтыкова, 14","87477500627, 87273670763",детский сад,altair.sadik@mail.ru
"Детский сад ""Тедди""","ул. Венецианова, 21А","87079059945, 87079059945",детский сад,teddy14@bk.ru
"Детский сад ""Умит Ай""","мкр. Кокжиек, 7а","87078378150, 87076127758",детский сад,alimakids@mail.ru
"Центр Детского Образования ""Happy Land""","ул. Вольная, 14/15","87772260626, 87273279644",детский сад,h-land12@mail.ru
"Детский сад ""Аиша""","ул. Саялы, 14","87473000687, 87473000687",детский сад,adilya-78@mail.ru
"Детский сад ""Ай-Лау""","ул. Фаворского, 12","87017440858, 87273843626",детский сад,ai.lau@mail.ru
"Детский сад ""БӨПЕШІМ""","ул. Парковая, 2","87021920717, 87021920717",детский сад,bopeshim@bk.ru
"Центр детского развития ""Имран-Ю""","ул. Омарова, 67А","87074211297, 87273858090",детский сад,maiya_88_86@mail.ru
Детский сад «Даниал»,"ул. Куратова, 58","87027516977, 87273973971",детский сад,saule_ssar@mail.ru
"Детский сад ""Қарлығаш1""","ул. Грушовая, 12а","87029457144, 87029457144",детский сад,ag.vet21@gmail.com
Детский сад «Мечта»,"ул. Минина, 24","87016102596, 87016102596",детский сад,diwka055@gmail.com
"Детский сад ""Atakent-kids""","ул. Клочкова, 167","87779602803, 87272747017",детский сад,atakent.kids@mail.ru
"Детский сад ""CLASSIC KINDERGARTEN""","ул. Айманова, 137","87011104020, 87273545103",детский сад,info@bestsad.kz
"Мини-центр ""Журавушка Baby""","ул. Маркова, 32","87776155454, 87273540448",дошкольный мини-центр,Natanatali_77@mail.ru
"Детский сад ""KIS""","пр. Аль-Фараби, 118/15","87775343939, 87273565000",детский сад,snurbek@kisnet.org
"Мини-центр ""Нұршашар""","мкр. Дарын, 7","87752055557, 87272472699",дошкольный мини-центр,meruert_702@mail.ru
"Ясли-сад ""Бала Қыран""","ул. Байкенова, 18","87074887311, 87074887311",ясли-сад,Marfuga1973mama@gmail.com
"Детский сад при ""Тамос Эдьюкейшн Физико-Математическая Школа""","ул. Салыкова, 140/1","87059855570, 87273470150",детский сад,osagandykova@mail.ru
"Детский сад ""Балашым""","ул. Попова, 27","87008877007, 87008877007",детский сад,balashym123@mail.ru
"Детский сад ""ST Advisory""","мкр. Орбита-4, 25А","87777569000, 87272547310",детский сад,detsad-solnishko@mail.ru
Детский сад «Нур Ай Лимитед»,"пр. Гагарина, 141 А","87011438284, 87011438284",детский сад,detsad-nurai@mail.ru
"Мини-центр ""Тангимо""","ул. Мельникайте, 14/2","87770784535, 87273024301",дошкольный мини-центр,ainura.kim@mail.ru
"Детский сад ""ЛИДЕР""","мкр. Орбита 4, 25б","87772609989, 87272547300",детский сад,leader_school@mail.ru
"Детский сад ""Zerdesh baksha""","ул. Жарокова, 356","87013570007, 87272993200",ясли-сад,dszerdesh@mail.ru
"Детский сад ""Маленький гений""","ул. Санаторная, 28","87017508338, 87017508338",детский сад,marina.strebkova@mail.ru
"Мини-центр ""ФТК Баганашыл""","ул. Молодежная, 4","87772291075, 87272991933",дошкольный мини-центр,fastrackids.baganashyl@mail.ru
"Детский сад ""Dostyk baby""","пр. Аль-фараби, 93/9","87016135008, 87273959582",детский сад,dostykbaby@mail.ru
"Ясли-сад ""Дарын""","мкр. Мирас, 42","87474034541, 87272993299",ясли-сад,too.daryn@bk.ru
"Мини-центр ""Монтессори Алма-Ата""","ул. Байшешек, 5","87010140730, 87272633338",дошкольный мини-центр,montessorialma-ata@outlook.com
"Детский сад ""Бэбисити 3""","ул. Кекилбайулы, 45","87789488893, 87789488893",детский сад,sadikbabycity@gmail.com
"Детский сад ""Tarlan kids""","ул. Кенесары хан, 67","87754439559, 87273415056",детский сад,tarlanschool@mail.ru
"Детский сад ""УМКА""","ул. Си Синхая, 1","87777113737, 87273964611",детский сад,umkanajarokova@mail.ru
"Детский сад ""Болашак""","пр. Сейфуллина, 544","87014507697, 87272675118",детский сад,bolashak.detskiisad@mail.ru
"Детский сад ""Компания N&N""","ул. Аскарова, 1","87770339196, 87770339196",детский сад,askarova.ftk@gmail.com
"Детский сад ""Балажан""","ул. Жандосова, 14","87781520906, 87473006446",детский сад,detsad.almaty@yandex.ru
"Мини-центр ""BEIBARYS-SULTAN""","мкр. Хан Тенгри, 89","87003030765, 87272268355",дошкольный мини-центр,sultanbeibarys.sun@gmail.com
"Детский сад ""Р-Мурагер 2""","ул. Санаторная, 12","87779306633, 87784183842",детский сад,Erubaevazhanar@list.ru
Детский сад «ЭЛКО»,"мкр. Орбита 3, 8а","87017991039, 87272425321",детский сад,elko50@mail.ru
"Мини-центр ""FasTracKids Kazakhstan""","ул. Нахимова, 37б","87011721393, 87273936753",дошкольный мини-центр,ftkkz@mail.ru
"""Умка"" Детский Центр","пр. Гагарина, 242","87776899527, 87776899527",дошкольный мини-центр,natalya_br@mail.ru
"Мини-центр ""Da Vinci kids""","ул. Кашгарская, 81А","87077232574, 87272922926",дошкольный мини-центр,maral.maral.1974@mail.ru
"Детский сад ""Зайка""","ул. Маркова, 9","87017370563, 87273296713",детский сад,zaikasadik@bk.ru
"Детский сад при ""Международная школа ""Мирас""","пр. Аль-Фараби, 190","87272421676, 87272421676",детский сад,secretary@miras.kz
"Детский сад ""Симба Kids""","ул. Кекилбайулы, 32А","87478425689, 87273964003",детский сад,rsz_66@mail.ru
"Детский сад ""ERKE A kids""","ул. Тажибаевой, 180","87017401128, 87273776282",детский сад,matrona.1128@gmail.com
"Детский сад ""Мидас""","ул. Журавлева, 22","87017238166, 87017238166",детский сад,sadikaigolek@mail.ru
"Мини-центр ""Наследник Kz""","мкр. Мирас, 157","87754863625, 87273111884",дошкольный мини-центр,naslednik_ds@mail.ru
"Детский сад ""Кулагер""","мкр. Казахфильм, 45","87772096227, 87272696224",детский сад,kulager.detsad@rambler.ru
"Детский сад ""KidsClub""","ул. Рыскулбекова, 28/3","87052295599, 87073297240",детский сад,bbbaital@mail.ru
"Детский сад ""Wunderkinds""","мкр. Хан Тенгри, 127А","87012222552, 87070492258",детский сад,Samal-aaa91@mail.ru
"Детский сад ""Школа Данышпан""","ул. Ходжанова, 77/5","87017116927, 87017116927",детский сад,nurmazhanara@mail.ru
"Мини-центр ""Damina""","ул. Подгорная, 14А","87078100020, 87078100020",дошкольный мини-центр,Zhazira@damina.kz
"Детский сад ""Алгабас-3","ул. Озтюрка, 5А","87012669226, 87072277077",детский сад,algabas-3@mail.ru
"Филиал ""Образовательного комплекса школы ""First""","мкр. Мирас, 59","87777909099, 87273114105",дошкольный мини-центр,semey-first@mail.ru
"Детский сад ""Ахмадиева""","ул. Подгорная, 25/2","87077757313, 87077757313",дошкольный мини-центр,t.zhaika@mail.ru
"Детский сад ""SmART Kids""","ул. Умбетбаева, 216","87772255959, 87273379222",детский сад,smart_kids@list.ru
"Детский сад ""Хан-Султан 3""","ул. Болтирикова, 88","87012672264, 87051119646",детский сад,Hansultan.sadik@mail.ru
"Детский сад ""Альтар""","ул. Булбул, 8/2","87072442230, 87072442230",дошкольный мини-центр,2442230@mail.ru
"Детский сад ""Болашак галым""","ул. Жарокова, 278А","87789453345, 87272476230",детский сад,Bosepid@mail.ru
"Центр раннего развития детей ""JADO""","ул. Жарокова, 260В","87014075577, 87014075577",детский сад,jado.detsad@mail.ru
"Детский сад ""Smart Korkem""","мкр. Коктем-1, 11","87003311983, 87003311983",детский сад,Korkem_smart@mail.ru
"Детский сад ""MonteKids""","ул. Кенесарыхан, 143/1","87474392636, 87474392639",детский сад,temirbekova_tatyana@mai.ru
"Детский сад ""Sana Balabaqsha""","ул. Навои, 208/7","87025002568, 87025002568",детский сад,s.amanova93@mail.ru
"Детский сад ""Ainalaiyn Kids""","ул. Торанғы, 38","87017169900, 87017169900",детский сад,LuckyDucky@gmail.com
"Детский сад ""Baby Boom education""","ул. Ходжанова, 59/4","87478052837, 87478052837",детский сад,Sokankulenov@gmail.com
"Детский сад ""П_Ramida""","ул. Огородная, 10","87787952233, 87787959955",детский сад,kamilla.co@gmail.com
"Детский сад ""Айару""","ул. Попова, 22","87012222552, 87012222552",детский сад,Samal-aaa91@mail.ru
"Детский сад ""Соломон эдьюкейшн""","мкр. Хан Тенгри, 79","87002618005, 87002618005",детский сад,azhanchuakova@bk.ru
"Детский сад ""Samruk Kids Club""","ул. Ораза Абишева, 46","87760760009, 87058658551",детский сад,s.kidsclub@mail.ru
"Детский сад ""Magic Kingdom""","ул. Тажибаева, 157/2","87013095809, 87478222159",детский сад,mkingdom0111@gmail.com
"Детский сад ""DAYIR-ALMATY""","мкр. Хан Тенгри, 84","87019404482, 87756898255",детский сад,sarsenova.n2016@mail.ru
"Ясли-сад ""Зердеш-3""","ул. Болтириковой, 50","87477418141, 87711111142",детский сад,dszerdesh@mail.ru
"Детский сад ""МЕГА КИДС"" (филиал)","11-я улица, 8","87018886091, 87018886091",детский сад,ds_megakids@mail.ru
"Детский сад ""Mykid2""","6-я улица, 25","87017536913, 87017536913",детский сад,aldeke04@yandex.kz
"Детский сад ""ALEM SCHOOL.KZ""","ул. Жарокова, 358","87758021724, 87758021724",детский сад,alem_scholl.kz@mail.ru
Детский сад Qoshaqan,"ул. Тимирязева, 15A","87762458440, 87079110378",детский сад,qoshaqan.balabaqshasy@gmail.com
"Детский сад ""Friends Education""","ул. Абиша Кекилбайулы, 179","87077971040, 87077971040",детский сад,kimsales@bk.ru
"Детский сад ""Аль-Фараби""","ул. Рафика Нуртазина, 79","87012222552, 87012222552",детский сад,Samal-aaa91@mail.ru
"Детский сад ""Elite Kids Academy 1""","Территория СТ Ремизовка, 6","87021495556, 87021495556",детский сад,elitekidssite@gmail.com
"Детский сад ""Ordagen Management""","Микрорайон Хан-Тенгри, 7","87019172085, 87755370809",,info@babyboom.education
Детский сад «Sparks Preschool»,"мкр. Мирас, 160","87087051885, 87087051885",детский сад,sparks.kaz@gmail.com
"Детский сад ""Город друзей""","5-й переулок, 14","87087160878, 87087160878",детский сад,goroddruzeikz@gmail.com
"Детский сад ""Elite Child""","ул. Байшешек, 1","87002101881, 87002101881",детский сад,asel.amandosova@bk.ru
"Детский сад ""ALASH kids""","пр. Аль-Фараби, 75","87719111919, 87719111919",детский сад,alash.kids@mail.ru
"Детский сад ""Эрудиты""","ул. 20 линия, 62","87789108210, 87013228083",детский сад,aselmalgazdarova001@gmail.com
"Детский сад ""Умка""","ул. Киргизская, 2","87758159222, 87273964611",детский сад,Zcumka@mail.ru
"Детский сад ""Уайз Кидс""","ул. Кольсай, 31","87017445113, 87018716676",детский сад,wisekids.almaty@gmail.com
"Детский сад ""Friends Education 2""","ул. Манаша Козыбаева, 26","87077971040, 87077971040",детский сад,kimsales@bk.ru
"Детский сад ""QazBaby""","ул. Бұлбұл, 17","87072259840, 87072259840",ясли-сад,qaz.baby@yandex.kz
Детский центр «Кайсар»,"ул. Тажибаевой, 176","87477107330, 87273775870",детский сад,kaysar.detcentr@gmail.com
"Детский сад ""ESSENTIALS""","ул. Наурызбай батыра, 127","87017858888, 87017858888",детский сад,alimkhanovaadel@gmail.com
"Детский сад ""Joy Art Education""","ул. Тажибаевой, 180","87712321232, 87272512244",детский сад,detsad.radost2024@mail.ru
"ЦЕНТР ДЕТСКОГО ОБРАЗОВАНИЯ ""KIDS PLANET""","ул. Абулхайр-хан, 39","87773059703, 87027183322",детский сад,abilai_92_30@mail.ru
"Образовательный центр ""Солнечный Город""","мкр. Мамыр-4, 177",,детский сад,
"Детский сад ""Altyn Gasyr_KZ""","мкр. Мамыр-7, 21","87766300599, 87766300599",детский сад,tauyenova.gulnaz@mail.ru
"Детский сад ""Alem Baby""","мкр. Мамыр-4, 207","87778186141, 87273186141",детский сад,shark.rafael.87@mail.ru
"Детский сад ""Kids Club -Детский клуб""","ул. Мырзагалиева, 43в","87012113305, 87012113305",детский сад,info@kids-club.kz
"Детский сад ""Akademkids""","мкр. Мамыр-4, 85а","87083233132, 87476713953",детский сад,Akademkids20@gmail.com
"Детский сад ""Бэби_клуб""","мкр. Мамыр-7, 8/4","87054440066, 87272515530",детский сад,Kaparjv007007@gmail.com
"Детский сад ""Asylym kids""","ул. Сыйластық, 14",,детский сад,
Детский Творческий Центр «Ириска»,"мкр. Мамыр-4, 162","87051305101, 87051305101",детский сад,welcome_1980@mail.ru
"Детский сад ""Lion Garden""","мкр. Алмас, 57а","87474291411, 87474291411",детский сад,Aruzhan.dulatkyzy@bk.ru
"Детский садик ""Чебурашка""","мкр. Алтын бесик, 177","87077293049, 87072213140",детский сад,Kymbat.khamitova.2020@bk.ru
Детский центр «УМКА» на Берегового,"мкр. 10, 23б","87771865694, 87771865694",дошкольный мини-центр,umka_kazbek.bi@mail.ru
"Детский сад ""Умка Сад""","мкр. Мамыр-4, 166","87023472047, 87272555467",детский сад,olgadays76@mail.ru
"Детский сад ""Жан Бөпе - 1""","ул. Щепеткова, 113/3","87788799813, 87788799813",детский сад,galym0406@mail.ru
"Детский сад ""Nargiza & Co""","мкр. Мамыр 4, 5","87075464605, 87756770720",детский сад,bakir.nargizll@gmail.com
"Детский сад ""МЕГА КИДС""","ул. Садовникова, 35","87018886091, 87018886091",детский сад,madina_u@mail.ru
"Детский сад ""АҚӘЛЕМ 2""","ул. Пролетарская, 15","87017088707, 87017088707",детский сад,sad_bolashaq@mail.ru
"Детский сад ""Нұр-Ариман 1""","мкр. Мамыр 4, 145А","87017186825, 87017186825",детский сад,b.1961.5@mail.ru
"Детский сад ""Нэмо""","мкр. Атамекен, 163А","87087668657, 87772745588",детский сад,blisbekova@gmail.com
"Детский сад ""Таргап А&K""","мкр. Мамыр 4, 128","87072424787, 87072424787",детский сад,bakon07@mail.ru
"Детский сад ""Білім балалар орталығы""","мкр. Атамекен, 163А","87474016138, 87474016138",детский сад,zhadon89@mail.ru
"Детский сад ""Нурислам""","мкр. Мамыр-4, 212","87786842126, 87786842126",детский сад,nur_sad2017@mail.ru
"Детский сад ""KIDS Academy Kamila""","ул. Утеген батыра, 122","87770200098, 87272557350",детский сад,kids-academy-kamila@mail.ru
"Детский сад ""Altyn URPAQ""","мкр. Шабыт, 21","87001012210, 87001012210",детский сад,nurkalieva.i@mail.ru
"Детский сад ""BORI Company""","мкр. Мамыр-4, 121а","87077554997, 87077554997",детский сад,balalem_babyclub@mail.ru
"Детский сад ""Baby boom education""","ул. Дауленова, 25","87478702470, 87024697928",детский сад,coldstyle-727@mail.ru
"Детский сад ""ZERDESH""","мкр. Атамекен, 113","87479550665, 87252555755",детский сад,zere.kinder@gmail.com
"Детский сад ""Antaress Kids""","мкр. Мамыр-4, 156","87787773357, 87787773357",детский сад,antaress.kids.80@mail.ru
"Детский сад ""Kun ai""","ул. Шаймерденова, 27/33","87078087531, 87078087531",детский сад,aigera_juman@mail.ru
"Детский сад ""Лаяна К""","ул. Бутина, 5","87078787014, 87078787014",детский сад,Layana_balabaksha@mail.ru
"Детский сад ""AlemKids""","ул. Жантурина, 21","87017471666, 87017471666",детский сад,alemkids@mail.ru
"Мини-центр ""Новое поколение""","мкр. Мамыр 7, 8/1","87772682860, 87772682860",дошкольный мини-центр,jana_urpaq@mail.ru
"Детский сад ""Асемгул-1""","мкр. Алтын Бесик, 53","87781028678, 87781028678",детский сад,nagimaumirbekova70@mail.ru
"Детский сад ""Romashka kinder""","ул. Трудовая, 64А","87025509998, 87025509998",детский сад,l.Zavrenbekova@mail.ru
"Детский сад ""Ar Kids""","мкр. Мамыр-4, 117/7","87057051044, 87057051044",детский сад,Z.zhanakbaeva@bk.ru
"Мини-центр ""ДиДи2016"" (филиал)","мкр. Мамыр-7, 8/1","87077557746, 87077557746",дошкольный мини-центр,dabyltaeva@bk.ru
"Мини-центр ""Хотейка""","мкр. Мамыр 4, 16а","87078406338, 87078406338",дошкольный мини-центр,xoteika16@mail.ru
"Детский сад ""Asem-A7""","ул. Каргалинская, 64А","87772475870, 87012321102",детский сад,naz-ik@inbox.ru
"Детский сад ""Талант""","мкр. Атамекен, 245","87081442511, 87081442511",детский сад,talant.dc@mail.ru
"Детский сад ""Асем-гул""","мкр. Мамыр-4, 205","87473336432, 87028233536",детский сад,gulmira.shaukh.01@bk.ru
"Детский-ясли сад ""Береке - 2020""","мкр. Атамекен, 33/1","87055432916, 87055432916",детский сад,bereke2020@mail.ru
"Детский сад ""iBópe""","мкр. Баянаул, 8","87052736026, 87052736026",детский сад,ainursabyrgalieva@gmail.com
"Детский сад ""Unicus Kids""","ул. Шаймерденова, 17т","87012600888, 87012600888",детский сад,ksushin@mail.ru
"Детский сад ""DARA kids""","мкр. Куаныш, 27","87777777155, 87272569652",детский сад,zhainakorea@gmail.com
"Детский сад ""Jy'ldyz-AI""","ул. Ыкылас, 8Б","87079999592, 87071177733",детский сад,too.jyldyz-ai@mail.ru
"Детский сад ""Солнечный лучик""","мкр. Мамыр 4, 86","87058763486, 87058763486",детский сад,solnechnyyluchik.23@mail.ru
"Мини-центр ""i.Bala""","мкр. Мамыр 4, 18","87073193872, 87273800096",дошкольный мини-центр,zhumabekova-samal@mail.ru
"Детский сад ""Ар-Дана""","ул. Нурмаханова, 30","87017119373, 87272971714",детский сад,szauresh@mail.ru
"Мини-центр ""Хотейка""","мкр. Мамыр 4, 203а","87078406338, 87273817704",дошкольный мини-центр,xoteika16@mail.ru
"Детский сад ""Островок знаний""","ул. Мырзагалиева, 53","87772110666, 87273093321",детский сад,dinara.nulanovna@mail.ru
"Детский сад ""Эврика""","мкр. Мамыр 4, 4Б","87074968111, 87074968111",детский сад,guleke.o@mail.ru
"Детский сад ""Mama House""","мкр. Алмас, 201","87078205005, 87472858225",детский сад,detsadzhanali@mail.ru
"Мини-центр ""Алем-ГА""","мкр. Атамекен, 61","87016576677, 87016576677",детский сад,kgmakos@mail.ru
"Детский сад ""Звезда-Али-Ясина""","ул. Жексенбаева, 52","87085817791, 87472593095",детский сад,sad.yasina@bk.ru
"Детский сад ""ДиДи2016""","Территория СТ Ветеран, 21","87017557746, 87017557746",детский сад,dabyltaeva@bk.ru
"Детский сад ""Antaress kids-2""","мкр. Алмас, 106","87000808553, 87000808553",детский сад,anar.zhumash@inbox.ru
"Детский сад ""BalaSiti""","мкр. Атамекен, 121","87019841201, 87019841201",детский сад,balasiti@mail.ru
"Детский сад ""ҚОНЖЫҚ""","мкр. Мамыр 4, 148 А","87076445788, 87273816341",детский сад,miskakov010988@gmail.com
"Детский сад ""УМКА""","мкр. Мамыр-4, 57А","87776899527, 87272555467",детский сад,umka_kazbek.bi@mail.ru
"Учебно-воспитательный центр ""Өркен""","мкр. Астана, 5","87017847313, 87272261100",детский сад,orkenbakshasy@gmail.ru
"Детский сад ""АЙ-БАЛА""","ул. Садовникова, 61","87753854604, 87272496397",дошкольный мини-центр,nisa_03@mail.ru
"Детский сад ""ЛОЛО""","мкр. Атамекен, 123","87751049323, 87751049323",детский сад,lolo_kindergarten@mail.ru
"Детский сад ""BalaPanda KZ""","ул. Адилова, 11","87751474999, 87751474999",детский сад,balapanda.kz02@mail.ru
"Детский сад ""Мегаполис детства""","мкр. Алмас, 239","87012251838, 87474161180",детский сад,bakit-12@mail.ru
"Детский сад ""KARSHAL""","мкр. Атамекен, 33","87011118495, 87272555142",детский сад,ds.wonderland@mail.ru
"Центр дошкольного образования ""Дастур"" (филиал)","мкр. Мамыр-4, 119","87076856960, 87014797060",детский сад,filialdastur@mail.ru
"Детский сад ""Айсана""","мкр. Алмас, 134","87078385555, 87272931501",детский сад,Janna.9999@mail.ru
